rank,Uni,count,n_faculty
1,Carnegie Mellon University,12.4,14
2,Univ. of California - Berkeley,10.3,5
3,Univ. of California - San Diego,7.3,9
4,Univ. of Illinois at Urbana-Champaign,7.1,8
5,Stanford University,6.6,6
6,Johns Hopkins University,5.5,4
7,University of Toronto,4.9,5
8,Boston University,4.8,6
9,Univ. of California - Merced,4.5,2
10,University of Central Florida,4.4,3
10,University of Pennsylvania,4.4,4
12,Massachusetts Institute of Technology,4.3,4
12,Simon Fraser University,4.3,5
14,Georgia Institute of Technology,4.2,5
15,University of Washington,4.1,7
16,Oregon State University,3.9,4
17,Stevens Institute of Technology,3.8,3
18,University of Maryland - College Park,3.7,5
19,Columbia University,3.5,4
19,Stony Brook University,3.5,6
19,University of British Columbia,3.5,4
22,University of Waterloo,3.4,2
23,University at Buffalo,3.2,3
23,University of Massachusetts Amherst,3.2,5
23,University of Wisconsin - Madison,3.2,3
23,York University,3.2,3
27,Cornell University,3.1,4
28,Michigan State University,3.0,5
29,Princeton University,2.8,4
29,University of Texas at Austin,2.8,3
