rank,Uni,count,n_faculty
1,Univ. of California - San Diego,12.3,10
2,Carnegie Mellon University,10.4,19
3,Univ. of California - Berkeley,9.9,12
4,Stanford University,9.1,10
5,Massachusetts Institute of Technology,8.5,19
6,Simon Fraser University,8.2,9
7,University of Maryland - College Park,8.1,9
8,Stony Brook University,7.8,10
9,Cornell University,7.7,7
10,Univ. of Illinois at Urbana-Champaign,7.3,16
11,University of Central Florida,6.6,9
12,Columbia University,6.2,7
12,Johns Hopkins University,6.2,7
12,University of Rochester,6.2,4
15,Boston University,5.9,5
16,Michigan State University,5.2,6
16,Northeastern University,5.2,7
16,University of Wisconsin - Madison,5.2,6
19,University of Michigan,5.1,8
19,University of Texas at Austin,5.1,8
21,University of Washington,4.8,7
22,University of Toronto,4.6,7
23,Rutgers University,4.4,6
24,University of Pittsburgh,4.2,4
25,University of Pennsylvania,4.1,6
26,Brown University,4.0,4
27,University at Buffalo,3.9,7
27,York University,3.9,4
29,Oregon State University,3.8,3
30,Georgia Institute of Technology,3.6,6
