rank,Uni,count,n_faculty
1,University at Buffalo,3.7,5
2,University of Wisconsin - Madison,3.3,1
3,Carnegie Mellon University,2.4,2
4,Rutgers University,2.2,3
4,Univ. of Illinois at Urbana-Champaign,2.2,3
6,Princeton University,2.0,1
6,Univ. of California - Los Angeles,2.0,4
6,University of Massachusetts Amherst,2.0,4
9,University of Michigan,1.8,3
9,University of Minnesota,1.8,2
11,Simon Fraser University,1.7,1
11,Univ. of California - San Diego,1.7,2
11,University of Notre Dame,1.7,2
11,University of Waterloo,1.7,2
15,Cleveland State University,1.6,1
15,Dartmouth College,1.6,1
15,Michigan State University,1.6,2
15,Purdue University,1.6,1
15,Univ. of Maryland - Baltimore County,1.6,1
15,University of Washington,1.6,1
21,George Mason University,1.5,2
21,Pennsylvania State University,1.5,1
21,Rice University,1.5,1
21,Univ. of California - Berkeley,1.5,3
21,Univ. of California - Riverside,1.5,1
21,University of Maryland - College Park,1.5,1
21,University of Southern California,1.5,1
21,University of Texas at Austin,1.5,1
29,Duke University,1.4,2
29,Stony Brook University,1.4,2
29,University of Texas at Arlington,1.4,1
