rank,Uni,count,n_faculty
1,Carnegie Mellon University,3.8,6
2,North Carolina State University,3.6,5
3,University of British Columbia,3.4,6
4,Univ. of Illinois at Urbana-Champaign,3.3,5
5,Texas A&M University,3.0,1
6,Univ. of California - Irvine,2.8,4
7,Iowa State University,2.2,2
8,Purdue University,2.0,3
8,Univ. of California - Berkeley,2.0,3
8,University of Massachusetts Amherst,2.0,2
8,University of Texas at San Antonio,2.0,3
8,University of Wisconsin - Madison,2.0,4
13,Univ. of California - Davis,1.9,3
13,University of Victoria,1.9,3
15,Columbia University,1.8,3
15,Northern Arizona University,1.8,2
15,University of Southern California,1.8,3
18,Concordia University,1.7,2
18,Virginia Tech,1.7,3
20,Simon Fraser University,1.6,1
20,University of Texas at Austin,1.6,3
20,University of Texas at Dallas,1.6,2
23,Dalhousie University,1.5,1
23,Georgia Institute of Technology,1.5,2
23,University of Chicago,1.5,2
23,University of Michigan-Dearborn,1.5,1
23,University of Notre Dame,1.5,2
23,University of Virginia,1.5,1
29,College of William and Mary,1.4,1
29,Cornell University,1.4,1
29,George Mason University,1.4,2
29,Northeastern University,1.4,2
29,Ohio State University,1.4,2
29,Rutgers University,1.4,1
29,University of Nebraska,1.4,1
29,University of Pennsylvania,1.4,2
29,University of Toronto,1.4,1
29,University of Waterloo,1.4,2
