rank,Uni,count,n_faculty
1,Carnegie Mellon University,15.8,12
2,University of Washington,15.3,7
3,Univ. of California - Santa Barbara,8.8,5
4,Cornell University,8.2,9
5,University of Michigan,7.8,7
6,Columbia University,7.4,6
7,Johns Hopkins University,7.3,5
7,University of Pennsylvania,7.3,6
9,Univ. of California - Los Angeles,6.7,5
9,Univ. of California - San Diego,6.7,11
9,University of North Carolina,6.7,3
12,University of Maryland - College Park,6.6,7
13,University of Massachusetts Amherst,6.0,5
14,University of Texas at Austin,5.9,4
15,New York University,5.4,5
15,Univ. of Illinois at Urbana-Champaign,5.4,4
17,TTI Chicago,4.5,3
17,University of Waterloo,4.5,5
19,Rutgers University,4.4,4
20,Duke University,4.2,4
21,Stanford University,4.1,5
22,University of Toronto,3.9,5
23,Purdue University,3.8,2
23,University of Illinois at Chicago,3.8,4
23,University of Massachusetts Lowell,3.8,3
26,Oregon State University,3.6,4
27,McGill University,3.5,3
27,Univ. of California - Irvine,3.5,2
27,University of Colorado Boulder,3.5,2
27,University of Southern California,3.5,3
