rank,Uni,count,n_faculty
1,Carnegie Mellon University,5.1,11
2,Georgia Institute of Technology,4.6,10
3,Cornell University,4.4,4
4,University of Waterloo,4.2,7
5,Purdue University,4.0,7
6,Pennsylvania State University,3.8,5
6,Univ. of California - Santa Barbara,3.8,2
8,Indiana University,3.3,5
8,Stanford University,3.3,4
8,University of Maryland - College Park,3.3,4
11,Columbia University,3.2,8
12,Univ. of Illinois at Urbana-Champaign,3.1,6
13,Northeastern University,3.0,8
13,Univ. of California - San Diego,3.0,9
15,Princeton University,2.8,6
16,Johns Hopkins University,2.7,3
16,University of Wisconsin - Madison,2.7,4
18,University of Florida,2.6,4
19,University of Texas at Austin,2.5,5
20,Univ. of California - Riverside,2.4,4
21,University of Michigan,2.3,4
22,New York University,2.2,3
22,Northwestern University,2.2,3
24,Boston University,2.1,4
24,Brown University,2.1,3
24,Univ. of California - Irvine,2.1,4
27,Duke University,2.0,2
27,Stony Brook University,2.0,2
27,Univ. of California - Berkeley,2.0,3
30,Virginia Tech,1.9,3
