rank,Uni,count,n_faculty
1,Georgia Institute of Technology,5.4,9
2,University of Michigan,4.5,8
3,Northeastern University,4.2,8
3,University of Maryland - College Park,4.2,5
5,Carnegie Mellon University,3.6,6
6,Cornell University,3.4,6
6,Univ. of Illinois at Urbana-Champaign,3.4,6
8,Purdue University,3.3,8
9,Indiana University,3.2,5
9,University of Florida,3.2,4
11,University of Washington,2.9,5
12,Oregon State University,2.6,2
12,University of Massachusetts Amherst,2.6,3
14,Pennsylvania State University,2.5,3
14,University of Waterloo,2.5,5
14,University of Wisconsin - Madison,2.5,4
17,Duke University,2.4,3
17,New York University,2.4,6
17,Univ. of California - Riverside,2.4,4
17,University of Texas at Austin,2.4,3
21,Princeton University,2.3,3
22,George Mason University,2.1,3
22,George Washington University,2.1,3
22,North Carolina State University,2.1,3
22,Univ. of California - Berkeley,2.1,3
26,Arizona State University,2.0,6
26,Columbia University,2.0,3
26,Johns Hopkins University,2.0,2
26,Univ. of California - Irvine,2.0,3
30,University of Chicago,1.9,3
30,Yale University,1.9,2
