rank,Uni,count,n_faculty
1,Carnegie Mellon University,10.6,12
2,Stanford University,7.4,6
3,Massachusetts Institute of Technology,7.1,9
4,University of Waterloo,5.7,5
5,Columbia University,5.6,8
5,Princeton University,5.6,5
5,University of Michigan,5.6,7
8,University of Washington,5.4,4
9,Univ. of California - Berkeley,4.5,4
10,Univ. of Illinois at Urbana-Champaign,4.0,5
11,Rutgers University,3.9,4
12,Univ. of California - San Diego,3.8,3
12,University of Pennsylvania,3.8,5
14,Univ. of California - Santa Barbara,3.6,2
15,University of Toronto,3.3,5
16,Duke University,3.0,4
16,Harvard University,3.0,5
16,University of Massachusetts Amherst,3.0,3
19,University of Wisconsin - Madison,2.9,3
20,University of Virginia,2.7,2
21,Cornell University,2.6,2
21,Northwestern University,2.6,3
23,Georgia Institute of Technology,2.5,4
23,University of Texas at Austin,2.5,4
25,University of Chicago,2.2,2
26,Dartmouth College,2.1,3
26,Georgetown University,2.1,2
26,Purdue University,2.1,3
26,University of Maryland - College Park,2.1,4
30,New York University,2.0,3
30,Stony Brook University,2.0,2
30,TTI Chicago,2.0,2
30,University of Windsor,2.0,1
30,Yale University,2.0,1
