rank,Uni,count,n_faculty
1,Carnegie Mellon University,10.5,10
2,University of Michigan,9.1,7
3,Massachusetts Institute of Technology,8.9,9
4,Stanford University,8.3,9
5,Columbia University,6.5,7
6,University of Washington,6.4,7
7,Univ. of California - Berkeley,5.7,7
8,Univ. of California - San Diego,5.3,6
9,Univ. of Illinois at Urbana-Champaign,4.6,5
10,Cornell University,4.3,6
11,Princeton University,4.2,5
11,Univ. of California - Los Angeles,4.2,4
13,Georgia Institute of Technology,3.9,3
14,New York University,3.6,5
15,University at Buffalo,3.5,2
16,University of Wisconsin - Madison,3.4,5
17,Harvard University,3.3,6
17,University of Texas at Austin,3.3,6
19,California Institute of Technology,3.2,4
20,University of Pennsylvania,3.0,3
20,University of Waterloo,3.0,4
20,Yale University,3.0,3
23,TTI Chicago,2.9,4
24,Rutgers University,2.8,5
25,Northeastern University,2.5,3
25,Northwestern University,2.5,3
27,Georgetown University,2.4,3
27,University of Illinois at Chicago,2.4,3
27,University of Toronto,2.4,4
30,Duke University,2.3,2
30,Purdue University,2.3,2
30,Simon Fraser University,2.3,2
