rank,Uni,count,n_faculty
1,University of Michigan,4.9,9
2,Univ. of Illinois at Urbana-Champaign,3.8,6
3,Georgia Institute of Technology,3.6,7
4,Pennsylvania State University,3.4,6
5,Princeton University,2.9,4
5,Purdue University,2.9,3
7,University of Toronto,2.8,2
8,Univ. of California - Santa Barbara,2.6,5
9,University of Rochester,2.5,4
10,Cornell University,2.4,2
11,University of Wisconsin - Madison,2.3,3
12,University of Virginia,2.2,3
13,Columbia University,2.1,3
13,North Carolina State University,2.1,2
13,Stanford University,2.1,3
13,Univ. of California - San Diego,2.1,4
17,Binghamton University,2.0,3
17,Massachusetts Institute of Technology,2.0,2
17,Stony Brook University,2.0,1
17,University of Washington,2.0,2
21,Yale University,1.9,2
22,Carnegie Mellon University,1.8,2
23,Univ. of California - Riverside,1.7,2
23,University of Texas at Austin,1.7,2
25,Colorado School of Mines,1.6,1
26,Ohio State University,1.5,1
26,Oregon State University,1.5,1
26,University of British Columbia,1.5,2
26,University of Michigan-Dearborn,1.5,1
26,University of Pennsylvania,1.5,1
