rank,Uni,count,n_faculty
1,Carnegie Mellon University,15.9,25
2,University of Washington,13.2,22
3,University of Toronto,7.8,12
4,Stanford University,6.3,6
4,University of Michigan,6.3,10
6,University of Maryland - College Park,6.2,11
7,Georgia Institute of Technology,5.5,11
8,Northwestern University,5.0,9
9,Univ. of California - San Diego,4.9,8
10,University of Waterloo,4.6,3
11,University of Colorado Boulder,4.4,11
12,Cornell University,4.1,7
13,Univ. of California - Santa Cruz,4.0,5
14,Univ. of California - Berkeley,3.8,8
14,Univ. of Illinois at Urbana-Champaign,3.8,7
16,University of Massachusetts Amherst,3.7,8
17,Simon Fraser University,3.2,3
17,Univ. of California - Irvine,3.2,5
19,University of Saskatchewan,3.1,2
20,Stony Brook University,2.9,4
21,Northeastern University,2.8,6
21,University of Wisconsin - Madison,2.8,6
23,Texas A&M University,2.6,3
23,University of British Columbia,2.6,5
25,University of Chicago,2.5,5
26,Massachusetts Institute of Technology,2.4,5
27,Columbia University,2.3,2
27,Indiana University,2.3,5
29,Dartmouth College,2.2,5
29,University at Buffalo,2.2,6
