rank,Uni,count,n_faculty
1,University of Washington,13.5,19
2,Carnegie Mellon University,9.7,21
3,University of Toronto,8.6,8
4,Cornell University,5.8,9
5,Stanford University,5.7,7
6,University of Colorado Boulder,5.6,12
7,Univ. of California - Irvine,5.4,6
8,Univ. of Illinois at Urbana-Champaign,4.7,10
9,University of Waterloo,4.5,6
10,Univ. of California - San Diego,4.2,8
10,University of Michigan,4.2,8
12,Georgia Institute of Technology,3.5,5
13,Northwestern University,3.4,4
14,University of British Columbia,3.2,4
15,Univ. of California - Berkeley,3.0,4
16,Simon Fraser University,2.9,4
16,University of Chicago,2.9,6
18,Indiana University,2.6,6
19,Harvard University,2.4,2
19,Queen’s University,2.4,2
19,University of Maryland - College Park,2.4,4
22,Brigham Young University,2.3,4
22,Clemson University,2.3,2
22,Rutgers University,2.3,3
22,University of Saskatchewan,2.3,1
26,Stony Brook University,2.2,1
26,Univ. of California - Santa Cruz,2.2,4
28,Massachusetts Institute of Technology,2.1,4
28,Oregon State University,2.1,3
30,Columbia University,2.0,2
30,University of Central Florida,2.0,2
