rank,Uni,count,n_faculty
1,University of Washington,14.5,20
2,Carnegie Mellon University,10.4,25
3,Georgia Institute of Technology,7.9,13
4,Univ. of California - San Diego,6.8,9
5,Univ. of Illinois at Urbana-Champaign,6.4,14
6,Cornell University,6.2,13
7,Univ. of California - Irvine,5.5,8
8,University of Michigan,5.4,11
9,University of Toronto,4.8,8
10,Stanford University,4.7,4
11,University of Maryland - College Park,4.6,8
12,University of Colorado Boulder,4.0,10
13,Northeastern University,3.6,8
14,Northwestern University,3.5,5
14,University of Calgary,3.5,6
16,University of Wisconsin - Madison,3.3,4
17,Indiana University,3.0,6
18,Univ. of California - Berkeley,2.7,5
18,Univ. of California - Santa Cruz,2.7,5
20,University of Massachusetts Amherst,2.5,6
20,University of Saskatchewan,2.5,2
22,University of Waterloo,2.4,2
23,Simon Fraser University,2.3,1
23,University of British Columbia,2.3,4
25,Dalhousie University,2.1,4
26,Carleton University,2.0,2
26,Rutgers University,2.0,4
26,University of Manitoba,2.0,1
26,University of Pittsburgh,2.0,3
30,Michigan State University,1.9,3
30,Stony Brook University,1.9,2
