rank,Uni,count,n_faculty
1,North Carolina State University,2.8,5
2,Georgia Institute of Technology,2.5,5
2,University of Utah,2.5,6
4,Univ. of Illinois at Urbana-Champaign,2.4,6
5,Univ. of California - Merced,2.3,3
6,College of William and Mary,2.1,3
6,Northeastern University,2.1,2
6,Ohio State University,2.1,6
9,Northern Arizona University,2.0,1
9,University of Chicago,2.0,4
9,University of Delaware,2.0,1
12,Purdue University,1.8,2
13,Univ. of California - Riverside,1.7,2
13,University of British Columbia,1.7,3
13,University of Texas at Arlington,1.7,3
16,Indiana University,1.6,2
16,University of Southern California,1.6,2
18,Carnegie Mellon University,1.5,1
18,Missouri S&T,1.5,1
18,Oregon State University,1.5,1
18,Rice University,1.5,1
18,Stony Brook University,1.5,1
18,Univ. of California - Irvine,1.5,1
18,University of Maryland - College Park,1.5,1
18,University of Nevada,1.5,3
18,University of Wisconsin - Madison,1.5,1
18,Virginia Tech,1.5,1
28,Illinois Institute of Technology,1.4,2
28,Kent State University,1.4,1
28,University of Colorado Boulder,1.4,2
28,University of Tennessee,1.4,1
