rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,12.7,10
2,Carnegie Mellon University,10.1,10
3,Princeton University,8.0,6
4,Stanford University,6.7,8
5,University of Michigan,5.8,6
6,Univ. of Illinois at Urbana-Champaign,5.3,4
7,Univ. of California - San Diego,5.2,5
8,University of Waterloo,4.8,7
9,Cornell University,4.6,4
10,Columbia University,4.4,6
11,Boston University,3.9,3
11,Purdue University,3.9,6
13,Johns Hopkins University,3.8,2
13,University of Texas at Austin,3.8,5
15,Northeastern University,3.6,5
15,University of Pennsylvania,3.6,5
17,University of Maryland - College Park,3.5,4
17,University of Washington,3.5,5
19,Rutgers University,3.4,4
20,New York University,3.3,3
21,Georgia Institute of Technology,3.2,4
21,University of Toronto,3.2,4
23,University of Chicago,2.9,3
24,Harvard University,2.8,4
24,University at Buffalo,2.8,1
26,Univ. of California - Los Angeles,2.7,2
27,Univ. of California - Berkeley,2.6,4
27,Yale University,2.6,3
29,Univ. of California - Irvine,2.3,2
29,University of Wisconsin - Madison,2.3,2
