rank,Uni,count,n_faculty
1,Washington University in St. Louis,2.7,4
2,University of North Carolina,2.5,3
3,University of Pennsylvania,2.1,3
4,Carnegie Mellon University,2.0,1
4,George Washington University,2.0,3
4,Michigan State University,2.0,3
7,Wayne State University,1.8,2
8,University of Colorado Boulder,1.7,2
9,Binghamton University,1.5,1
9,Louisiana State University,1.5,1
9,North Carolina State University,1.5,1
9,Rutgers University,1.5,1
9,Univ. of Illinois at Urbana-Champaign,1.5,3
9,University of Houston,1.5,1
9,University of Michigan,1.5,1
9,University of Minnesota,1.5,1
9,University of Texas at Dallas,1.5,1
9,University of Virginia,1.5,2
9,Vanderbilt University,1.5,2
20,College of William and Mary,1.3,1
20,George Mason University,1.3,1
20,Northern Arizona University,1.3,1
20,UCCS,1.3,1
20,Univ. of California - Berkeley,1.3,1
20,University at Buffalo,1.3,2
20,University of Pittsburgh,1.3,2
20,University of Texas at San Antonio,1.3,1
28,Duke University,1.2,1
28,University of Connecticut,1.2,1
28,University of Texas at Austin,1.2,1
