rank,Uni,count,n_faculty
1,Stony Brook University,2.5,4
2,Massachusetts Institute of Technology,2.3,3
3,Univ. of Illinois at Urbana-Champaign,2.0,3
4,Northeastern University,1.9,5
5,Carnegie Mellon University,1.8,3
5,Univ. of California - Irvine,1.8,3
5,University of Massachusetts Amherst,1.8,2
8,Pennsylvania State University,1.7,3
8,University of Florida,1.7,2
10,Northwestern University,1.6,2
10,Ohio State University,1.6,1
12,California Institute of Technology,1.5,1
12,Columbia University,1.5,2
12,Cornell University,1.5,1
12,Georgia Institute of Technology,1.5,2
12,North Carolina State University,1.5,1
12,Princeton University,1.5,2
12,University of Georgia,1.5,1
12,University of Minnesota,1.5,2
12,University of New Orleans,1.5,1
12,University of Oregon,1.5,2
22,Univ. of California - San Diego,1.4,4
23,Case Western Reserve University,1.3,1
23,Duke University,1.3,2
23,Stanford University,1.3,1
23,Texas State University,1.3,1
23,Univ. of California - Berkeley,1.3,1
23,Univ. of California - Santa Barbara,1.3,1
29,Boston University,1.2,1
29,Purdue University,1.2,1
29,Rice University,1.2,1
29,Syracuse University,1.2,1
29,University of Chicago,1.2,1
29,University of Michigan,1.2,1
29,University of Pittsburgh,1.2,1
29,Virginia Tech,1.2,1
