rank,Uni,count,n_faculty
1,Carnegie Mellon University,2.8,3
2,Univ. of California - Los Angeles,2.5,2
3,Duke University,2.0,2
4,Princeton University,1.8,1
5,Purdue University,1.7,2
6,Pennsylvania State University,1.6,2
7,University of Arizona,1.5,1
7,University of Maryland - College Park,1.5,1
9,Northeastern University,1.4,2
10,Indiana University,1.3,1
10,Stanford University,1.3,1
10,Stony Brook University,1.3,1
10,Univ. of Illinois at Urbana-Champaign,1.3,1
10,University of Notre Dame,1.3,1
10,University of Pennsylvania,1.3,1
16,Georgia Institute of Technology,1.2,1
16,Univ. of California - Riverside,1.2,1
18,University of Pittsburgh,1.1,1
18,University of Victoria,1.1,1
