rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,26.1,38
2,Univ. of California - Berkeley,26.0,24
3,Carnegie Mellon University,25.3,30
4,Stanford University,22.5,25
5,Univ. of California - Los Angeles,19.3,15
6,Cornell University,15.8,19
7,University of Toronto,14.6,25
8,Univ. of Illinois at Urbana-Champaign,13.8,24
9,University of Washington,13.5,16
10,New York University,12.8,15
11,Univ. of California - San Diego,11.8,20
11,University of Pennsylvania,11.8,19
13,University of Maryland - College Park,11.3,17
14,Princeton University,10.7,15
14,Rutgers University,10.7,9
14,University of Wisconsin - Madison,10.7,17
17,Boston University,9.8,13
17,Purdue University,9.8,12
19,University of Massachusetts Amherst,9.4,14
20,University of Texas at Austin,8.4,11
21,Northwestern University,7.7,5
22,Columbia University,6.8,7
22,Texas A&M University,6.8,5
24,University of Montreal,6.7,11
24,University of Southern California,6.7,11
26,University of Virginia,6.4,10
27,University of Alberta,6.2,6
28,Georgia Institute of Technology,5.9,13
28,Ohio State University,5.9,10
28,Univ. of California - Santa Barbara,5.9,6
28,University of North Carolina,5.9,8
