rank,Uni,count,n_faculty
1,Carnegie Mellon University,9.1,12
2,Massachusetts Institute of Technology,8.7,6
3,University of Pennsylvania,6.5,5
4,University of Minnesota,6.0,5
5,Univ. of Illinois at Urbana-Champaign,4.5,4
6,University of Maryland - College Park,4.3,4
7,Georgia Institute of Technology,4.1,3
8,Univ. of California - Berkeley,4.0,4
9,University of Toronto,3.8,2
10,University of Washington,3.7,3
11,Cornell University,3.2,3
11,Univ. of California - Merced,3.2,2
13,McGill University,3.1,2
13,Univ. of California - San Diego,3.1,3
15,Rutgers University,3.0,3
15,University of Alberta,3.0,3
17,Stanford University,2.8,3
17,University of Tennessee,2.8,1
19,Columbia University,2.7,1
19,University of Southern California,2.7,2
19,York University,2.7,3
22,University of Colorado Boulder,2.6,4
22,University of Michigan,2.6,3
24,Johns Hopkins University,2.5,3
24,University of South Carolina,2.5,2
24,University of Texas at Austin,2.5,3
27,CUNY,2.3,2
27,Case Western Reserve University,2.3,2
27,Rice University,2.3,3
27,Texas A&M University,2.3,3
