rank,Uni,count,n_faculty
1,Univ. of California - San Diego,4.1,6
2,Carnegie Mellon University,3.8,7
2,Duke University,3.8,7
4,Massachusetts Institute of Technology,3.5,4
5,University of Wisconsin - Madison,3.1,6
6,Univ. of California - Berkeley,2.9,5
7,University of Maryland - College Park,2.8,4
8,Univ. of Illinois at Urbana-Champaign,2.5,6
9,University of Michigan,2.3,4
10,Boston University,2.2,2
10,Cornell University,2.2,3
10,Purdue University,2.2,4
10,Stanford University,2.2,4
10,University of Waterloo,2.2,6
15,Georgia Institute of Technology,2.0,3
15,University of British Columbia,2.0,1
17,Harvard University,1.9,1
17,Simon Fraser University,1.9,3
19,Brown University,1.8,3
19,Oklahoma State University,1.8,2
19,University of Massachusetts Amherst,1.8,3
19,University of Washington,1.8,2
23,Emory University,1.7,2
23,Univ. of California - Riverside,1.7,3
23,University of Pittsburgh,1.7,2
23,University of Toronto,1.7,2
23,Yale University,1.7,2
28,Georgetown University,1.6,2
28,Pennsylvania State University,1.6,2
28,Rutgers University,1.6,1
