rank,Uni,count,n_faculty
1,Cornell University,4.2,8
2,Univ. of Illinois at Urbana-Champaign,3.6,7
3,University of Illinois at Chicago,2.8,3
4,Carnegie Mellon University,2.6,5
5,University of Michigan,2.4,4
6,Georgia Institute of Technology,2.3,6
7,Univ. of California - San Diego,2.2,2
8,Univ. of California - Los Angeles,2.0,3
9,Northeastern University,1.9,2
10,Columbia University,1.8,2
10,New York University,1.8,2
10,Northwestern University,1.8,2
10,University of Virginia,1.8,1
10,University of Waterloo,1.8,2
15,Ohio State University,1.7,3
15,Stony Brook University,1.7,2
15,Univ. of California - Davis,1.7,1
15,Univ. of California - Santa Barbara,1.7,2
15,University of Colorado Boulder,1.7,2
20,Pennsylvania State University,1.6,3
20,University of Wisconsin - Madison,1.6,2
22,Emory University,1.5,1
22,North Carolina State University,1.5,1
22,Purdue University,1.5,2
22,University of Chicago,1.5,1
22,University of Connecticut,1.5,1
22,University of Houston,1.5,1
28,Rutgers University,1.4,1
28,University of Pennsylvania,1.4,2
30,Arizona State University,1.3,1
30,Michigan State University,1.3,1
30,Rochester Institute of Technology,1.3,1
30,Stevens Institute of Technology,1.3,1
30,Univ. of California - Riverside,1.3,1
30,University at Buffalo,1.3,1
30,University of Texas at Austin,1.3,1
30,Wayne State University,1.3,1
