rank,Uni,count,n_faculty
1,Northeastern University,3.2,9
2,Purdue University,2.8,6
3,University of Washington,2.5,3
3,University of Waterloo,2.5,6
5,University of Virginia,2.4,3
6,Univ. of Illinois at Urbana-Champaign,2.3,5
6,University of Alberta,2.3,2
8,Emory University,2.2,3
9,Columbia University,2.1,3
10,Carnegie Mellon University,2.0,3
10,Stony Brook University,2.0,3
12,Georgia Institute of Technology,1.9,5
12,Univ. of California - Santa Barbara,1.9,3
12,Univ. of California - Santa Cruz,1.9,3
12,University of Massachusetts Amherst,1.9,2
12,University of Michigan,1.9,2
12,Worcester Polytechnic Institute,1.9,3
18,Boston University,1.8,3
18,Rice University,1.8,2
18,Univ. of California - Los Angeles,1.8,3
18,University of Illinois at Chicago,1.8,1
22,Ohio State University,1.7,3
22,Texas A&M University,1.7,2
22,Univ. of California - Irvine,1.7,2
22,University of Chicago,1.7,2
26,Pennsylvania State University,1.6,3
26,Simon Fraser University,1.6,2
26,University of Toronto,1.6,2
29,Cornell University,1.5,2
29,Harvard University,1.5,1
29,Northwestern University,1.5,2
29,Temple University,1.5,2
29,University at Buffalo,1.5,3
29,University of Delaware,1.5,1
29,University of Ottawa,1.5,1
29,University of Utah,1.5,1
