rank,Uni,count,n_faculty
1,Rutgers University,5.3,4
2,Univ. of Illinois at Urbana-Champaign,5.1,10
3,University of Waterloo,3.1,5
4,Carnegie Mellon University,2.5,4
4,Purdue University,2.5,4
4,University of Virginia,2.5,3
7,Cornell University,2.3,3
7,Stony Brook University,2.3,5
7,University of Utah,2.3,1
10,Pennsylvania State University,2.2,5
10,University of Illinois at Chicago,2.2,2
12,Rochester Institute of Technology,2.1,3
12,University of Massachusetts Amherst,2.1,1
14,University at Buffalo,2.0,1
15,Brown University,1.9,2
15,Emory University,1.9,4
15,University of Notre Dame,1.9,4
15,Virginia Tech,1.9,3
19,University of Michigan,1.8,3
20,George Mason University,1.7,4
20,Princeton University,1.7,3
22,Arizona State University,1.6,1
22,Univ. of California - San Diego,1.6,3
22,University of Delaware,1.6,2
22,University of Louisiana - Lafayette,1.6,3
22,University of Minnesota,1.6,3
22,University of Toronto,1.6,3
28,Lehigh University,1.5,2
28,McGill University,1.5,2
28,Old Dominion University,1.5,2
28,Texas A&M University,1.5,1
28,Univ. of California - Santa Barbara,1.5,3
28,University of Alberta,1.5,1
28,University of Chicago,1.5,3
28,University of Maryland - College Park,1.5,2
28,University of Washington,1.5,2
