rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,3.8,8
2,University of Washington,3.7,6
3,Stanford University,3.2,4
4,Carnegie Mellon University,2.9,7
5,Univ. of California - Berkeley,2.6,5
5,Univ. of California - San Diego,2.6,5
7,Univ. of Illinois at Urbana-Champaign,2.3,5
8,University of Massachusetts Amherst,2.2,3
9,Princeton University,1.8,3
10,Cornell University,1.7,3
10,Harvard University,1.7,3
10,Ohio State University,1.7,2
13,Purdue University,1.6,3
13,Univ. of California - Los Angeles,1.6,3
13,University of Southern California,1.6,2
16,Boston University,1.5,2
16,New York University,1.5,3
16,Stony Brook University,1.5,3
16,University of Colorado Boulder,1.5,2
16,University of Michigan,1.5,2
16,University of Texas at Austin,1.5,2
22,Tufts University,1.4,1
22,University of Pennsylvania,1.4,2
24,Brown University,1.3,1
24,George Washington University,1.3,1
24,Univ. of California - Riverside,1.3,1
24,Univ. of California - Santa Barbara,1.3,2
24,University of Waterloo,1.3,1
29,California Institute of Technology,1.2,1
29,George Mason University,1.2,1
29,Georgetown University,1.2,1
29,Univ. of California - Santa Cruz,1.2,1
29,Yale University,1.2,1
