rank,Uni,count,n_faculty
1,Carnegie Mellon University,4.0,3
2,University of Michigan,2.9,3
3,Columbia University,2.7,2
3,Cornell University,2.7,5
5,Duke University,2.5,3
6,University of Wisconsin - Madison,2.2,1
7,University of Virginia,2.0,1
7,University of Washington,2.0,2
9,Rutgers University,1.9,3
9,University of Pennsylvania,1.9,3
9,University of Southern California,1.9,2
12,Rensselaer Polytechnic Institute,1.8,1
12,Stanford University,1.8,1
12,University of Colorado Boulder,1.8,1
15,Harvard University,1.7,2
16,New York University,1.5,1
16,Univ. of California - Irvine,1.5,1
16,Univ. of California - Santa Cruz,1.5,1
16,University of Illinois at Chicago,1.5,1
16,University of Texas at Austin,1.5,1
21,Brown University,1.3,1
21,Massachusetts Institute of Technology,1.3,1
21,Univ. of Illinois at Urbana-Champaign,1.3,1
21,University of British Columbia,1.3,1
21,University of Massachusetts Amherst,1.3,1
21,University of Nebraska,1.3,1
21,University of Waterloo,1.3,1
28,Boston University,1.2,1
28,Drexel University,1.2,1
28,University of Maryland - College Park,1.2,1
28,University of Toronto,1.2,1
