rank,Uni,count,n_faculty
1,Cornell University,4.9,4
2,Harvard University,3.7,5
3,Carnegie Mellon University,2.9,4
4,University of Michigan,2.3,2
5,Northwestern University,2.2,1
6,University of British Columbia,2.0,2
7,University of Southern California,1.8,1
7,University of Wisconsin - Madison,1.8,1
9,Columbia University,1.7,1
10,Rutgers University,1.6,2
11,Northeastern University,1.5,1
11,University of Illinois at Chicago,1.5,1
11,University of Texas at Austin,1.5,1
11,University of Waterloo,1.5,1
15,Brown University,1.3,1
15,California Institute of Technology,1.3,1
15,Drexel University,1.3,1
15,Duke University,1.3,1
15,Massachusetts Institute of Technology,1.3,1
15,McGill University,1.3,1
15,New York University,1.3,1
15,Purdue University,1.3,1
15,TTI Chicago,1.3,1
15,Univ. of California - San Diego,1.3,1
15,University of Alberta,1.3,1
15,University of Colorado Boulder,1.3,1
15,University of Houston,1.3,1
15,University of Maryland - College Park,1.3,1
15,University of Pennsylvania,1.3,1
15,University of Toronto,1.3,1
15,University of Tulsa,1.3,1
15,Yale University,1.3,1
