rank,Uni,count,n_faculty
1,University of Washington,10.5,7
2,Johns Hopkins University,6.9,5
3,University of Maryland - College Park,6.5,7
4,University of Texas at Dallas,6.2,4
5,Stanford University,6.1,3
5,University of Pennsylvania,6.1,5
7,Carnegie Mellon University,6.0,8
8,Columbia University,4.7,5
9,Cornell University,4.6,8
10,Massachusetts Institute of Technology,4.5,3
11,Univ. of Illinois at Urbana-Champaign,4.2,4
12,New York University,3.7,6
13,University of Michigan,3.6,4
14,Temple University,3.5,2
15,Brown University,3.4,2
15,University of Alberta,3.4,4
17,Univ. of California - Santa Barbara,3.1,1
18,Georgia Institute of Technology,3.0,3
19,Univ. of California - San Diego,2.9,4
19,University of Texas at Austin,2.9,3
21,University of Massachusetts Amherst,2.8,4
22,Arizona State University,2.7,3
22,Oregon State University,2.7,1
22,University of Arizona,2.7,3
25,Univ. of California - Santa Cruz,2.6,3
26,Brandeis University,2.5,1
26,Georgetown University,2.5,2
26,Univ. of California - Berkeley,2.5,2
26,University of Pittsburgh,2.5,2
30,Rutgers University,2.4,1
