rank,Uni,count,n_faculty
1,Univ. of California - Berkeley,10.1,14
2,Carnegie Mellon University,9.3,13
3,Univ. of Illinois at Urbana-Champaign,8.7,10
4,Cornell University,8.3,13
5,Massachusetts Institute of Technology,8.2,16
6,Stanford University,8.0,16
7,Princeton University,7.5,6
8,University of Toronto,7.3,11
9,University of Washington,7.1,10
10,New York University,6.1,8
11,Univ. of California - San Diego,6.0,11
12,Columbia University,5.6,8
13,Duke University,5.2,5
13,Univ. of California - Los Angeles,5.2,10
15,University of Massachusetts Amherst,5.1,8
16,University of Michigan,4.7,6
17,Rutgers University,4.6,5
18,University of Montreal,4.5,3
18,University of Wisconsin - Madison,4.5,9
20,Northwestern University,4.3,3
21,University of Pennsylvania,4.2,7
22,University of Texas at Dallas,4.0,4
23,Boston University,3.9,6
23,Georgia Institute of Technology,3.9,8
23,Harvard University,3.9,5
23,University of Alberta,3.9,3
27,Univ. of California - Santa Cruz,3.7,3
28,TTI Chicago,3.6,4
29,Univ. of California - Irvine,3.3,4
29,University of Texas at Austin,3.3,3
